Экстаз;Если во сне Вы испытываете экстаз, то в реальной жизни Вас ожидает радость, связанная с приездом друзей. Если Вам снится како-то беспокойный сон, в котором Вы испытываете состояние экстаза, то жизнь ввергнет Вас в пучину неприятностей. 
Экскурсия;Если во сне Вы с экскурсией осматриваете какие-либо достопримечательности, то в семейной жизни Вы займете пассивную позицию. Если Вам приснилось, что Вы сами проводите экскурсию, то наяву Вы сможете проявить себя в выбранной Вами профессии. 
Экипаж;Если Вам приснилось, что экипаж корабля пытается спастись во время сильного шторма, то наяву Вас подстерегает беда. Если во сне Вы видите экипаж, готовый покинуть порт, то какие-то непредвиденные обстоятельства вынудят Вас отказаться от путешествия. 
Эвакуация;Любой сон, в котором Вы видите эвакуацию, предвещает проблемы и тревоги. Если Вам приснилось, что Вы отправляетесь в эвакуацию, то наяву Вы боитесь той ответственности, которая легла на Ваши плечи. Сон, в котором Вы потеряли кого-то или что-то в процессе эвакуации, предостерегает Вас от излишней доверчивости. 
Экзамен;Если Вам приснилось, что на экзамене Вы забыли выученный Вами материал, то наяву Вам не хватает уверенности в себе и собственных силах, что нередко становится причиной многих неприятностей. Если во сне Вы успешно сдаете экзамен, то не исключено, что в жизни Вас считают неудачником, хотя сами Вы с этим не согласны. Просто у каждого свой путь и своя шкала ценностей. Сон, в котором Вы пользуетесь на экзамене шпаргалками, означает, что Вы решили ввязаться в некую авантюру. Если Вам удалось воспользоваться шпаргалкой, то наяву все обернется удачно. Если же шпаргалка только все испортила, то задумайтесь над оправданностью риска. 
Яшма;Если во сне Вы видите яшму - это благоприятный знак. Такой сон сулит Вас успех в делах и любви. Для молодой женщины сон, в котором она потеряла изделие из яшмы, предвещает размолвки с возлюбленным. 
Ящерица;Увидеть во сне ящерицу означает, что Вам следует быть готовым к тому, что Ваши враги перейдут в наступление. Если Вы убиваете ящерицу, то наяву Вам улыбнется удача и Вы сможете восстановить свое доброе имя. Однако если ящерице удалось ускользнуть от Вас, то опасайтесь неприятностей. Для молодой женщины увидеть ящерицу на себе предвещает неудачи. 
Ящик;Если во сне Вы видите открытый ящик с товарами, то Вас ожидает огромное богатство. Кроме того, на Вашу долю выпадут интересные поездки в дальние страны. Если же ящик пуст, то Вас ожидают разочарования. Увидеть во сне ящик, полный денег, предсказывает, что Вы решитесь на какое-то время забыть о делах и уединиться. 
Ясновидение;Если Вам приснилось, что Вы ясно видите свое будущее, то ближайшее будущее резко изменит Вашу жизнь. Если во сне Вы обращаетесь за предсказанием судьбы к ясновидящему, то Ваши перспективы на успех весьма туманны. 
Яхта;Увидеть во сне яхту означает, что Вы наконец-то сможете отрешиться от суеты повседневных дел. Однако яхта со спущенными парусами или яхта, севшая на мель, символизирует неудачу. 
Ястреб;Увидеть во сне ястреба означает, что Вас обманут коварные недруги. Подстрелить ястреба означает, что после напряженной борьбы Вы справитесь со всеми трудностями. Мертвый ястреб символизирует победу над врагами. Для молодой женщины сон, в котором она прогнала напавшего на домашнюю птицу ястреба, означает, что ее целеустремленность и прилежание позволят ей добиться намеченного. После такого сна все могут рассчитывать на успех. Однако если ястреб все же похитил птицу, то будьте готовы к свалившимся на Вас проблемам. Если Вам приснилось, что Вы охотитесь с ястребом, то наяву Вы нередко бываете слишком консервативны. Сон, в котором один ястреб насмерть забивает другого, означает, что Ваше положение сейчас весьма зыбко. Если во сне Вы видите ястреба в клетке, то Вашим надеждам на легкий успех не дано оправдаться. 
Ярмарка;Если Вам приснилось, что Вы пришли на ярмарку, Вам будет обеспечен успех во всех Ваших начинаниях. Для молодой женщины сон, в котором она видит себя на ярмарке, предсказывает веселого и добродушного спутника жизни. 
Ярость;Если во сне Вы испытываете чувство ярости, то в реальной жизни Ваше спокойствие и выдержка являются предметом зависти окружающих. Однако лишь Вам известно, чего это стоит. Если Вам приснилось, что кто-то в ярости начинает швырять и бить вещи, то наяву Вы столкнетесь с несправедливостью, исправить которую будете не в силах. 
Янтарь;Увидеть во сне янтарь - благоприятный знак. Для молодой женщины сон, в котором она получает в подарок янтарное ожерелье, сулит ей любящего мужа и прекрасных детей. Очень хорошо, если Вам приснилось, что Вы нашли янтарь, поскольку отныне удача будет Вашей верной спутницей. 
Якорь;Для моряка увидеть во сне якорь - благоприятный знак. Для всех остальных он предсказывает возможность дальних поездок, связанных с Вашими коммерческими интересами. 
Яма;Если во сне Вы копаете яму, то наяву Вам предстоит заняться работой, которая не вызывает у Вас ни малейшего энтузиазма. Если Вам приснилось, что Вы провалились в яму, то в реальной жизни Вам следует проявить предельную осторожность, чтобы не оказаться в ловушке, поставленной Вашим врагом. Если же Вы провалились в яму, вырытую Вами же, то, возможно, Вашим надеждам на то, что Вы сможете обхитрить неприятелей, не дано сбыться. Вам может присниться сон, в котором Вы стоите на краю ямы и кидаете в нее камушек, чтобы определить глубину, однако яма оказывается бездонной. Такой сон означает, что Вы намерены ввязаться в некую авантюру, не будучи уверенным в том, что риск оправдан. Попробуйте еще раз взвесить все за и против. 
Яйца;Если во сне Вы нашли гнездо с яйцами, то судьба подарит Вам большое потомство, семейное счастье и благополучие. Для женщины такой сон может также предвещать любовные увлечения. Есть яйца означает, что Вам уготованы необычные домашние хлопоты. Видеть свежие разбитые яйца означает, что судьба будет к Вам благосклонна и одарит Вас щедрыми дарами. Вас будут любить и уважать. Видеть протухшие яйца означает, что Вас ожидают крупные финансовые потери и моральный упадок. Видеть корзину с яйцами означает возможность выгодной сделки. Если Вам приснились яйца птиц, то Вам достанется неожиданное крупное наследство от дальнего родственника или иной большой выигрыш. 
Язык;Если во сне Вы видите свой язык, то в реальной жизни Вы рискуете лишиться уважения окружающих Вас людей. Видеть свой язык пораненным означает, что Вы пострадаете из-за Ваших неосторожных высказываний. Если Вы видите чей-то язык, то, возможно, Вы пострадаете из-за злых сплетен, распускаемых Вашими недругами. 
Язва;Увидеть во сне язву предвещает потерю друзей и расставание с любимым человеком. Ваши коммерческие интересы также могут пострадать. Если Вам приснилось, что все Ваше тело покрыто язвами, то наяву потакание собственным слабостям может обернуться потерей любимых и друзей. 
Яд;Видеть во сне, что Вы отравлены, означает, что на Вас пытаются оказать дурное влияние. Если Вам приснилось, что Вы намерены отравить других людей, то в реальной жизни злые мысли занимают слишком много места в Вашем сердце и Вашей голове. Нет смысла обвинять кого-то в собственных неудачах. Для молодой женщины сон, в котором она собирается отравить свою соперницу, означает, что ее ревность действительно имеет под собой почву. Если во сне Вы выбрасываете яд, то наяву для Вас не составит труда преодолеть все возникшие трудности. Сон, в котором Вы видите, что отравлены Ваши родные или близкие, то наяву беда придет оттуда, откуда ее меньше всего ждали. Видеть отравленными врагов - к успешному преодолению трудностей. Если после отравления ядом Вам удалось исцелиться, то в Вашей жизни наконец-то наступит полоса радости и удачи. Если во сне Вы по назначению врача принимаете лекарства, в которых есть яд, то в ближайшем будущем Вы предпримете какое-то рискованное начинание. 
Ягуар;Если во сне Вы наблюдаете за поведением ягуара, то в реальной жизни Вам придется проявить недюжинное терпение, чтобы дождаться подходящего момента для реализации намеченного Вами плана. Если Вам приснилось, что ягуар набросился на Вас, то Вам следует быть готовым к тому, что Вы допустите оплошность, которой не преминут воспользоваться Ваши недруги. Если же во сне Вы вышли победителем из схватки с ягуаром, то наяву Вы сможете преодолеть все возникшие трудности. 
Ягодицы;Если Вам приснилось, что Вас, как в детстве, шлепают по ягодицам, то наяву Вы чувствуете за собой некую вину, однако не знаете, как ее искупить. Если во сне Вы видите толстые ягодицы, на которые натянута мини-юбка, то в глубине души Вы испытываете стремление к удовольствиям, которые общественное мнение считает запрещенными. Сон, в котором Вы наблюдаете за тем, как художник пишет с обнаженной натуры, означает, что от сексуальных отношений Вы стремитесь получать не только плотское удовольствие, но и наделять их эстетической и духовной красотой. 
Ягода;Если Вам приснилось, что Вы собираете садовые ягоды, то наяву Вы сможете насладиться результатами своего труда. Собирать спелые лесные ягоды означает, что судьба будет к Вам благосклонна и подарит Вам уникальный шанс. Есть ягоды - к новому витку любовных отношений. Для молодой женщины сон, в котором она варит варенье из ягод, означает, что она стремится удержать своего возлюбленного, который к ней начал охладевать. 
Яблоня;Если во сне Вы видите яблоню, ветви которой прогибаются под тяжестью плодов, то Вас ожидает успех и процветание. Если Вам приснилось, что Вы хотите сорвать с яблони то единственное яблоко, которое находится на самом верху, то в реальной жизни Вы ставите перед собой труднодостижимые цели. Для молодой женщины сон, в котором она снимает с яблони красивые спелые яблоки, означает, что ее очарование и талант помогут ей удачно выйти замуж за мудрого и богатого человека. Засохшая яблоня предупреждает о проблемах и болезнях. 
Яблоко;Увиденное во сне яблоко - благоприятный знак. Красные яблоки в зеленой листве - к удаче и процветанию. Спелые яблоки на дереве означают, что пришло время для активных действий. Однако если Вы видите одно-единственное яблоко на самой вершине, задумайтесь, реальны ли Ваши замыслы. Упавшие на землю яблоки символизируют лесть ложных друзей. Гнилые яблоки - символ бесполезных попыток. Есть гнилые или червивые яблоки - к неудачам. 
Шорты;Видеть во сне шорты означает, что Вы попадете в двусмысленную ситуацию. Если Вам приснилось, что Вы одеты не по сезону в шорты, то в реальной жизни Вас обманут самым безжалостным образом. Если во сне Вы испортили шорты, то Вам следует быть готовым к тому, что намеченные Вами дела не будут выполнены в срок. 
Шоколад;Сон, в котором Вы видите шоколад, означает, что Вы в силах обеспечить достаток тем, кто зависит от Вас. Видеть шоколадные конфеты - к хорошим деловым партнерам и успешной работе. Если шоколад окажется неприятным на вкус, то за этим сном последуют болезни и разочарования. Если во сне Вы пьете горячий шоколад, то судьба заготовила Вам массу радостей после окончания нынешнего периода бед и лишений. 
Щупальца;Если Вам приснилось, что Вы видите, как щупальца подводного животного тянутся к Вам и пытаются Вас ухватить, означает, что над Вами нависла серьезная опасность. Вам необходимо проявить повышенную бдительность, чтобы не попасть в сети, расставленные врагами. Сон, в котором Вы ощущаете себя обвитым щупальцами, предсказывает, что Вас подстерегает болезнь, для излечения которой Вам, возможно, придется покинуть свой дом. Если во сне Вы разделываете щупальца кальмара, то наяву Вы с легкостью справитесь с поставленной перед Вами задачей. 
Шнурок;Сон, в котором Вы видите шнурок, предупреждает о возможных проблемах. Если во сне Вы завязываете шнурки на своей обуви, то в реальной жизни Вас ожидает встреча с человеком, чьи интересы близки к Вашим. Видеть развязанные шнурки означает, что Вы окончательно запутались в отношениях с близкими. Для молодой женщины такой сон предвещает обман любимого. 
Шлем;Если во сне Вы увидели шлем, то в реальной жизни Вам грозят потери и нищета. Однако если Вы предпримите меры предосторожности, то беды можно избежать. 
Шланг;Если Вам приснилось, что Вы поливаете из шланга, то в реальной жизни Вы с легкостью справляетесь с любыми проблемами. Если во сне Вы видите шланги, свернутые кольцами, то наяву Вам придется потрудиться, чтобы доказать руководству, что Вы достойны повышения в должности. 
Шляпа;Если во сне Вы залюбовались красивой шляпкой на прекрасной головке, то в ближайшем будущем Вы поддадитесь некому легкому любовному увлечению. Для молодой женщины сон, в котором она выбирает шляпу из тех, что у нее есть в наличии, означает, что в реальной жизни она достаточно ветреная особа. Если мужчине приснилось, что он покупает шляпу, то наяву он пытается скрыться от ответственности за совершенный им проступок. 
Шкура;Если во сне Вы видите шкуру какого-либо животного, то наяву Вы сможете заняться делом, которое доставляет Вам удовольствие. 
Школа;Если Вам снится, что Вы учитесь в школе, то Вам удастся достичь успеха в литературных занятиях. Если же при этом Вы видите себя молодым и в школе вашего детства, то берегитесь нахлынувшей ностальгии. Сон, в котором Вы учительствуете, означает, что у Вас будет шанс достичь успеха, однако суровая правда жизни напомнит Вам о себе. Увидеть во сне школьного учителя означает, что в реальной жизни Вы достаточно восприимчивы и открыты для нововведений. 
Шкаф;Если во сне Вы открываете шкаф и из него вываливаются вещи, то наяву Вы пытаетесь погнаться за двумя зайцами. Если Вам приснилось, что Вы пытаетесь закрыть дверцу шкафа, но она вновь и вновь открывается со скрипом, то в реальной жизни Вам не удастся утаить от близких какой-то малоприятный факт Вашей биографии. Покупать шкаф - к крупным переменам в Вашей жизни. 
Шишка;Если во сне Вы видите растущие на деревьях шишки, то в ближайшем будущем Вы не сумеете заработать сумасшедших денег, однако содержать семью на достойном уровне Вы сможете. Если Вам приснилось, что Вы варите варенье из еловых шишек, то наяву Ваша изобретательность и неординарность мышления нередко Вас выручали. Сон, в котором у Вас от удара появилась на голове шишка, означает, что Вы рискуете допустить ошибку, которая будет Вам дорогого стоить. 
Шифр;Если Вам приснилось, что Вы пытаетесь разгадать шифр, то наяву Вы будете интересоваться литературными исследованиями, и, постоянно совершенствуясь, хорошо изучите привычки и жизнь древних цивилизаций. 
Шить;Если во сне Вы шьете новую одежду, то наяву Вы сможете создать уютный дом и наполнить его счастьем. 
Шея;Если Вам приснилась Ваша шея, то Вам следует позаботиться о том, чтобы семейные проблемы не помешали Вашему бизнесу. Если во сне Вы восхищаетесь красотой чье-то шеи, то наяву от Вашего эгоизма пострадают не только другие, но и Вы сами. Для женщины увидеть во сне, что у нее безобразно толстая шея, означает, что ей необходимо держать свой нрав в рамках приличия. 
Шипы;Видеть во сне шипы и колючки, означает, что Вам будет нелегко достичь намеченной цели. Если же среди шипов Вы видите зеленые листочки, то будьте бдительны, поскольку Ваше благополучие под угрозой. 
Шина;Если во сне Вы прокололи шину, то в реальной жизни Вам не следует слишком надеяться на то, что разработанный Вами план будет осуществлен. Не забывайте о том, что существуют, так называемые, непредвиденные обстоятельства, которые могут сыграть с Вами злую шутку. Сон, в котором Вы меняете шину, предупреждает Вас о том, Вас придется заняться делом, в успехе которого Вы не будете уверены. 
Шерсть;Если Вам снится шерсть - это благоприятный знак, который обещает осуществление Ваших планов. Видеть грязную шерсть означает, что Вы будете вынуждены работать с людьми, чьи взгляды резко отличаются от Ваших. 
Шеф;Если Вам приснилось, что Вы сидите в кабинете своего шефа в его кресле, то наяву Ваши амбиции не имеют границ. Однако помните, что не всегда далеко идущие планы являются лучшим подспорьем в делах. Если Вы только начинаете работать в фирме или на предприятии, то для Вас сон, в котором Вы ругаетесь с шефом, означает, что Вам следует еще многому научиться, а пока не позволяйте себе делать скоропалительных выводов. Для молодой женщины сон, в котором у нее роман с шефом, означает, что в реальной жизни у нее слишком много комплексов, мешающих ей жить. 
Шепот;Если во сне Вы слышите шепот, то в реальной жизни за Вашей спиной будут распускать злобные сплетни. Если Вам приснилось, что кто-то шепотом предупреждает Вас о чем-либо или советует что-либо, то наяву Вы остро нуждаетесь в помощи или в мудром совете. 
Шелк;Если во сне Вы надеваете одежду из шелка, то, возможно, наяву Вам удастся удовлетворить свои амбиции. В делах и дружбе Вам уготован успех. Для молодой женщины видеть во сне старинные шелковые наряды означает, что наяву она будет гордиться своими предками. Кроме того, ее поклонником будет пожилой состоятельный мужчина. Однако если одежда грязная или рваная, то увидевшая этот сон женщина рискует бросить тень на доброе имя своей семьи. 
Швея;Если во сне Вы видите швею, то наяву какое-то случайное, но радостное событие помешает Вашей деловой встрече. 
Шашки;Если Вам приснилось, что Вы играете в шашки, то наяву Вам предстоит преодолеть серьезные трудности. Какие-то незнакомые люди попытаются втереться к Вам в доверие и причинить Вам вред. Если во сне Вы выиграли партию в шашки, то в реальной жизни Вы преуспеете в неком сомнительном деле. 
Шашлык;Если во сне Вы ощущаете манящий запах шашлыка, однако никак не можете найти, где его готовят, то в реальной жизни Вы рискуете упустить реальный шанс поправить свое материальное положение в погоне за дешевым рублем. Если Вам приснилось, что Вы едите шашлык, то Вам следует быть готовым к тому, что, возможно, Вас ожидает голодный год. 
Шахта;Если во сне Вы видите себя в угольной шахте среди шахтеров, то в реальной жизни Вашему продвижению к богатству и славе противодействует некая необъяснимая сила. Сон, в котором Вы являетесь совладельцем шахты, означает, что наяву Вы удачно разместите свой капитал. Для молодой женщины сон, в котором она видит угольную шахту, может означать, что она выйдет замуж за риэлтера или дантиста. 
Шарф;Для молодой женщины сон, в котором она вяжет большой пушистый шарф, сулит ей радости семейной жизни. У нее непременно будет уютный дом, верный заботливый муж и умные послушные дети. Если во сне Вы получаете в подарок шарф, то в реальной жизни у Вас появятся новые знакомства, которые со временем превратятся в верную дружбу. 
Шахматы;Если во сне Вы играете в шахматы, то наяву Вас ожидает застой в делах и ухудшение самочувствия. Проиграть партию в шахматы - к проискам врагов. Выиграть - к преодолению всех трудностей. 
Шапка;Если Вам приснилось, что Вы надеваете большую меховую шапку, которая сваливается на лицо, то в личной жизни у Вас возникнут обстоятельства, которые Вы попытаетесь скрыть от близких. Однако будьте осторожны, дабы не потерять все. Для молодой женщины сон, в котором она вяжет шапочку, означает ее стремление к созданию домашнего уюта. Не исключено, что она может принять поспешное решение и выйти замуж за первого встречного. Если во сне Вы надеваете шапку и обнаруживаете, что это чужая вещь, то наяву Вам необходимо быть осторожнее, чтобы не оказаться замешанным в чужих проблемах. 
Шантаж;Если Вам приснилось, что Вас шантажируют, то наяву Вы чувствуете, что совершили ошибку, за которую Вам придется расплачиваться. Если во сне Вы сами шантажируете кого-либо, то в реальной жизни Вам придется бороться за справедливость. 
Шампунь;Если Вам приснилось, что Вы моете голову шампунем, то Вы будете заниматься унизительными, на Ваш взгляд, делами, ради того, чтобы угодить другим. Если во сне кто-то моет Вам голову шампунем, то в ближайшем будущем Вас ожидает некая тайная поездка, которая будет приятной для Вас лишь в том случае, если Вы сможете скрыть ее цель от семьи и друзей. 
Шампанское;Увиденное во сне шампанское - благоприятный знак. Если Вам приснилось, что Вы никак не можете открыть бутылку шампанского, то наяву Ваше стремление к легкой жизни постоянно натыкается на здравомыслие близких. Если во сне Вы поперхнулись шампанским, то в реальной жизни Ваши необдуманные поступки могут стать причиной трагедии. Сон, в котором Вы наблюдаете за игрой сверкающих пузырьков в бокале шампанского, означает, что Вам требуется отдых. 
Шаль;Если Вам приснилась шаль, то Вам не следует придавать большого значения похвале, так как она будет исходить из уст льстецов. Неблагоприятен сон, в котором Вы потеряли шаль. Для молодой женщины он предвещает жестокий обман. 
Щука;Если во сне Вы видите красиво приготовленную щуку на блюде, то в реальной жизни беды и неприятности обойдут Вас стороной. Если Вам приснилось, что пойманная щука плещется в ванной, то наяву Вы сможете раскрыть коварный замысел Ваших врагов. Сон, в котором щука укусила Вас за палец, призывает Вас к осторожности. 
Щипцы;Если во сне Вы пользуетесь маникюрными щипцами, то наяву Вы придаете большое значение внешнему. Для молодой женщины такой сон может предостерегать ее от необдуманного замужества, поскольку за внешним лоском ее жениха скрывается дурная натура. Видеть щипцы среди прочего медицинского инструмента означает, что Вы встревожены состоянием Вашего здоровья. Если же Вы видите щипцы в руках врача, то Вам не о чем беспокоиться, поскольку все закончится удачно. 
